Date,Time,Candidate Name,Candidate Emailid,Relevant Experience (Years),Language Preferred,Correct Programs,Test Execution Score (%),AI Code Review Score (%),AI Likelihood Avg (%),AI Likelihood Max (%),Q1 Tab Switches,Q2 Tab Switches,Total Tab Switches,Total Time Taken
"2026-04-12","01:27:13-915","Dheeraj","dheeraj.sai171998@gmail.com","8","Python","0/2","0","0","0","0","0","0","0","0:10"
"2026-04-12","01:28:57-816","Dheeraj1","dheeraj.sai171998@gmail.com","6","Javascript","0/2","0","0","0","0","0","0","0","0:14"
"2026-04-12","01:30:41-973","Dheeraj12","dheeraj.sai171998@gmail.com","4","Java","0/1","0","0","0","0","0","0","0","0:06"
"2026-04-12","01:33:20-884","D1","dheeraj.sai171998@gmail.com","8","Java","0/2","0","0","0","0","0","0","0","0:17"
"2026-04-12","01:36:38-252","D12","dheeraj.sai171998@gmail.com","8","Python","0/2","0","0","0","0","0","0","0","0:15"
"2026-04-12","11:58:36-237","sai","dheeraj.sai171998@gmail.com","8","Python","0/2","0","0","40","80","1","0","1","0:56"
"2026-04-12","12:09:57-824","Thawne","dheeraj.sai171998@gmail.com","9","Python","0/2","0","0","40","80","3","1","4","3:07"
"2026-04-12","12:11:34-069","Thawne","dheeraj.sai171998@gmail.com","4","Python","1/1","100","83","90","90","1","0","1","0:33"
"2026-04-12","12:14:11-003","Thawne1","dheeraj.sai171998@gmail.com","8","Javascript","1/2","50","42","45","90","2","0","2","1:04"
"2026-04-12","12:32:56-613","Thawne12","dheeraj.sai171998@gmail.com","9","Java","1/2","50","41","8","15","0","0","0","2:04"
"2026-04-12","12:52:21-438","david","dheeraj.sai171998@gmail.com","3","Python","0/1","0","0","0","0","0","0","0:04"
"2026-04-12","12:53:50-855","david1","dheeraj.sai171998@gmail.com","4","Javascript","0/1","0","0","0","0","0","0","0","0:02"
